站号,站名,观测时间,气温4次平均,最高气温,最低气温,20-20降水量,本站气压4次平均,相对湿度4次平均,最小相对湿度,10分钟风速4次平均,日最大风风速,日照时数合计
53698,石家庄,2014-03-23,14.2,19.5,9.5,0.0,1010.0,39,27,1.2,2.6,8.4
53798,邢台,2014-03-23,14.7,21.8,8.5,0.0,1012.9,45,23,1.9,3.3,8.0
53698,石家庄,2014-03-24,15.5,22.2,10.8,0.0,1001.7,47,31,1.1,2.8,7.8
53798,邢台,2014-03-24,16.7,23.5,9.3,0.0,1005.1,44,25,1.2,3.1,8.8
53698,石家庄,2014-03-25,15.9,22.1,11.3,0.0,998.0,57,33,1.1,2.2,0.0
53798,邢台,2014-03-25,16.3,22.3,11.5,0.0,1001.2,61,39,1.2,2.8,7.6
53698,石家庄,2014-03-26,18.0,23.9,13.6,0.0,997.7,58,41,1.3,2.6,7.6
53798,邢台,2014-03-26,18.4,25.2,11.3,0.0,1001.4,65,46,1.7,3.5,7.6
53698,石家庄,2014-03-27,15.5,19.6,12.2,0.0,997.8,86,54,1.1,2.0,0.0
53798,邢台,2014-03-27,20.2,27.0,13.6,0.0,1000.4,68,37,2.5,4.5,4.0
53698,石家庄,2014-03-28,18.6,23.4,13.7,0.9,995.0,64,30,1.5,2.7,8.9
53798,邢台,2014-03-28,20.2,25.7,15.6,0.0,998.0,58,34,1.4,3.6,8.3
53698,石家庄,2014-03-29,16.7,21.4,11.9,0.0,1000.5,57,30,1.2,2.2,8.0
53798,邢台,2014-03-29,17.9,22.1,14.4,0.0,1003.5,57,35,1.9,4.1,8.4
53698,石家庄,2014-03-30,17.7,24.6,11.6,0.0,1003.5,47,19,1.3,2.4,7.9
53798,邢台,2014-03-30,18.3,24.2,12.1,0.0,1006.9,52,29,1.6,3.6,4.6
53698,石家庄,2014-03-31,17.9,21.1,16.5,0.0,1003.5,50,33,1.3,2.5,0.0
53798,邢台,2014-03-31,19.9,23.9,16.0,0.0,1006.4,39,24,1.7,3.6,3.1
53698,石家庄,2014-04-01,18.5,24.0,13.5,0.0,1000.3,49,29,2.2,3.1,10.1
53798,邢台,2014-04-01,19.0,24.7,11.6,0.0,1004.1,52,27,0.9,3.3,10.1
53698,石家庄,2014-04-02,17.5,21.5,12.8,0.0,1001.1,54,39,1.4,2.6,0.0
53798,邢台,2014-04-02,18.9,24.5,14.1,0.0,1003.7,49,31,1.7,3.0,8.8
53698,石家庄,2014-04-03,14.9,21.7,9.5,0.0,1011.5,41,14,1.1,2.9,10.6
53798,邢台,2014-04-03,14.3,20.1,10.6,1.3,1014.4,53,29,1.9,4.3,9.2
53698,石家庄,2014-04-04,18.5,28.2,6.7,0.0,1002.2,31,11,1.2,2.6,10.5
53798,邢台,2014-04-04,19.0,28.4,9.1,0.0,1005.7,34,10,1.8,3.1,10.8
53698,石家庄,2014-04-05,13.4,22.0,8.1,0.0,1010.7,32,13,1.4,3.4,9.9
53798,邢台,2014-04-05,13.6,21.0,8.7,0.0,1014.0,30,21,2.1,5.6,10.9
53698,石家庄,2014-04-06,14.7,21.8,7.0,0.0,1006.8,41,24,1.1,3.7,7.6
53798,邢台,2014-04-06,15.6,22.2,10.2,0.0,1010.8,36,15,1.7,4.0,10.3
53698,石家庄,2014-04-07,16.4,24.1,9.0,0.0,1000.9,51,26,0.7,2.3,10.2
53798,邢台,2014-04-07,15.7,24.4,9.4,0.0,1004.2,48,24,1.3,3.4,9.6
53698,石家庄,2014-04-08,18.5,24.8,13.0,0.0,1000.9,46,29,1.4,3.5,9.3
53798,邢台,2014-04-08,18.5,26.2,9.7,0.0,1004.7,53,28,1.5,3.1,9.9
53698,石家庄,2014-04-09,20.7,28.4,12.9,0.0,998.2,54,27,1.4,2.7,8.3
53798,邢台,2014-04-09,21.8,30.1,15.3,0.0,1001.6,53,30,2.0,3.8,10.0
